City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,date
Bubaque,GW,11.2833,-15.8333,78.75,83,100,8.77,1663737093
Zhangye,CN,38.9342,100.4517,75.69,21,95,21.05,1663737094
Kokkola,FI,63.8385,23.1307,44.92,95,0,1.14,1663737094
Holeby,DK,54.7115,11.4642,50.7,81,29,5.46,1663737094
Kapaa,US,22.0752,-159.319,84.18,79,75,12.66,1663737095
Nikolskoye,RU,59.7035,30.7861,49.78,95,99,5.17,1663737095
Port Alfred,ZA,-33.5906,26.891,57.79,74,1,9.24,1663737096
Guerrero Negro,MX,27.9769,-114.0611,71.65,78,47,10.22,1663737096
Rikitea,PF,-23.1203,-134.9692,73.31,75,7,16.13,1663737097
Saint-Philippe,RE,-21.3585,55.7679,76.59,81,83,13.51,1663737097
Bluff,NZ,-46.6,168.3333,50.81,75,32,6.78,1663737098
Ribeira Grande,PT,38.5167,-28.7,74.17,80,29,6.02,1663737098
Bontang,ID,0.1333,117.5,77.34,87,100,7.02,1663737098
Pisco,PE,-13.7,-76.2167,58.01,82,75,5.75,1663737099
Atuona,PF,-9.8,-139.0333,76.59,79,12,20.85,1663737099
Cap Malheureux,MU,-19.9842,57.6142,74.46,69,3,10,1663737100
Bonavista,CA,48.6499,-53.1147,49.26,74,0,1.57,1663737100
Kapoeta,SS,4.7717,33.5903,79.12,56,99,6.13,1663737101
Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,1663737101
George Town,MY,5.4112,100.3354,85.95,74,20,0,1663736802
Ancud,CL,-41.8697,-73.8203,40.32,88,29,1.68,1663737102
Kalabo,ZM,-14.97,22.6814,70.09,32,70,6.96,1663737102
Hermanus,ZA,-34.4187,19.2345,48.79,68,38,4.27,1663737103
Orzinuovi,IT,45.404,9.9216,61.48,77,85,10.69,1663737131
Borogontsy,RU,62.6683,131.1683,41.83,35,0,9.24,1663737131
Hobart,AU,-42.8794,147.3294,68.05,61,75,10.36,1663737132
Lagos,NG,6.5833,3.75,73.81,95,99,2.39,1663737132
Saint Paul Harbor,US,57.79,-152.4072,53.11,62,100,8.05,1663737133
Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,0.38,1663737133
Geraldton,AU,-28.7667,114.6,68.41,60,23,10.36,1663737062
Viedma,AR,-40.8135,-62.9967,41.72,83,0,10,1663737134
Guasdualito,VE,7.2424,-70.7324,73.17,96,80,3.74,1663737135
Busselton,AU,-33.65,115.3333,61.66,72,70,19.22,1663737135
Tuatapere,NZ,-46.1333,167.6833,52.83,74,55,3.87,1663737136
Desnogorsk,RU,54.1508,33.2815,47.28,95,100,1.48,1663737136
Tiarei,PF,-17.5333,-149.3333,78.82,74,29,18.37,1663737137
Santa Maria,BR,-29.6842,-53.8069,59.38,91,50,8.63,1663737011
Puerto Ayora,EC,-0.7393,-90.3518,67.55,88,61,10,1663737137
Halden,NO,59.1226,11.3871,39.63,91,9,2.91,1663737138
Yellowknife,CA,62.456,-114.3525,45.12,93,20,6.91,1663737136
San Patricio,US,28.017,-97.5169,82.89,70,1,6.55,1663737139
Nchelenge,ZM,-9.3451,28.734,76.53,60,97,7.2,1663737139
Bengkulu,ID,-3.8004,102.2655,81.79,74,65,5.41,1663736929
Longyearbyen,SJ,78.2186,15.6401,35.44,69,40,31.07,1663736997
Provideniya,RU,64.3833,-173.3,41.36,100,100,18.01,1663737140
Hong Kong,HK,22.2855,114.1577,89.65,68,74,10,1663736874
Chapais,CA,49.7834,-74.8492,47.98,96,30,8.25,1663737141
Butaritari,KI,3.0707,172.7902,81.73,76,63,9.78,1663737141
Qaanaaq,GL,77.484,-69.3632,21.76,63,100,7.36,1663737142
Tataouine,TN,32.9297,10.4518,73.98,90,62,11.83,1663737142
Ipixuna,BR,-1.7625,-48.8043,74.59,88,12,4.59,1663737143
Bradley,US,35.1501,-84.8666,73.98,94,0,3.11,1663737143
Kirakira,SB,-10.4544,161.9205,78.69,86,100,6.78,1663737143
Isangel,VU,-19.55,169.2667,79.41,74,13,4.16,1663737003
Vestmannaeyjar,IS,63.4427,-20.2734,50.97,87,90,2.93,1663737144
Barrow,US,71.2906,-156.7887,35.62,93,100,4.61,1663737144
Thompson,CA,55.7435,-97.8558,39.36,93,75,4.61,1663737145
Saint-Louis,SN,16.3333,-15,84.27,61,100,8.48,1663737145
Dingle,PH,10.9995,122.6711,85.26,73,100,10.69,1663737146
Āsosa,ET,10.0667,34.5333,64,86,96,6.22,1663737146
Cayenne,GF,4.9333,-52.3333,75.24,94,20,2.3,1663737147
San Matías,BO,-16.3667,-58.4,82.92,52,39,7.54,1663737072
Vila Franca do Campo,PT,37.7167,-25.4333,73.2,88,5,0.89,1663737147
Ubari,LY,26.5921,12.7805,80.17,17,0,2.19,1663737148
New Norfolk,AU,-42.7826,147.0587,67.71,49,76,1.99,1663737148
Vanimo,PG,-2.6741,141.3028,82.45,78,100,7.65,1663737148
East London,ZA,-33.0153,27.9116,52.74,93,0,3.44,1663737045
Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,11.5,1663737149
Clyde River,CA,70.4692,-68.5914,32.23,64,100,9.22,1663737150
Mataura,NZ,-46.1927,168.8643,54.03,75,79,2.89,1663737150
Iqaluit,CA,63.7506,-68.5145,40.73,93,100,0,1663737151
Cabo San Lucas,MX,22.8909,-109.9124,79.52,88,81,1.01,1663737151
Nara,JP,34.6851,135.8049,75.49,34,75,7.72,1663737152
Zholymbet,KZ,51.7433,71.7122,70.07,32,0,1.07,1663737152
Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,11.5,1663737153
Bay Roberts,CA,47.5999,-53.2648,46.26,90,0,3.49,1663737153
Bara,NG,10.3744,10.7288,73.35,92,100,3.4,1663737153
Ocampo,MX,21.65,-101.5,54.18,87,36,11.34,1663737154
Albany,US,42.6001,-73.9662,59.41,88,39,3.83,1663737154
Carbonia,IT,39.1672,8.5222,63.01,85,90,4.27,1663737155
Sola,VU,-13.8833,167.55,79.88,79,31,14.25,1663737156
Yerbogachën,RU,61.2767,108.0108,38.57,97,100,8.12,1663737156
Cape Town,ZA,-33.9258,18.4232,58.37,80,0,3.44,1663737157
Bathsheba,BB,13.2167,-59.5167,84.81,74,75,25.32,1663737157
Torbay,CA,47.6666,-52.7314,45.5,97,0,3.44,1663737157
Kommunisticheskiy,RU,61.6789,64.4819,56.23,62,11,14.34,1663737158
Katsuura,JP,35.1333,140.3,73.42,83,100,18.32,1663737158
Baghdad,IQ,33.3406,44.4009,82.31,28,75,5.75,1663736985
Beloha,MG,-25.1667,45.05,75.16,44,0,10.92,1663737159
Yangi Marg`ilon,UZ,40.4272,71.7189,81.32,24,61,2.3,1663737151
Kasongo-Lunda,CD,-6.4667,16.8167,71.55,93,87,1.07,1663737160
Chui,UY,-33.6971,-53.4616,48.45,85,100,6.31,1663737160
Watertown,US,42.3709,-71.1828,59.9,91,100,5.75,1663737045
Mahébourg,MU,-20.4081,57.7,74.25,78,75,11.5,1663737161
Taylorville,US,39.5489,-89.2945,77.79,83,0,4.61,1663737162
Luorong,CN,24.4058,109.6086,90.16,44,67,6.91,1663737162
Souillac,MU,-20.5167,57.5167,73.78,78,75,11.5,1663737163
Banjar,ID,-8.19,114.9675,87.19,61,100,3.62,1663737163
Hilo,US,19.7297,-155.09,76.28,89,100,9.22,1663737163
Harnai,PK,30.1005,67.9374,86.22,25,0,2.86,1663737164
Mastic Beach,US,40.7668,-72.8521,68.04,82,0,5.75,1663737164
Ponta do Sol,PT,32.6667,-17.1,72.23,82,21,3.02,1663737165
Vidim,RU,56.4088,103.1106,35.37,77,100,12.71,1663737165
Nabire,ID,-3.3667,135.4833,82.83,79,90,5.64,1663737166
Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.33,85,44,12.46,1663737166
Saint George,US,37.1041,-113.5841,77.95,29,0,9.22,1663737163
Jamestown,US,42.097,-79.2353,63.72,77,0,3.44,1663736998
Yulara,AU,-25.2406,130.9889,77.36,19,0,9.64,1663737167
Saint-Pierre,RE,-21.3393,55.4781,76.68,61,0,26.46,1663737167
Mar del Plata,AR,-38.0023,-57.5575,46.87,86,100,3,1663737168
Banyo,CM,6.75,11.8167,62.6,96,100,3.09,1663737168
Dikson,RU,73.5069,80.5464,30.65,72,100,29.91,1663737169
Ushuaia,AR,-54.8,-68.3,44.26,61,20,10.36,1663737089
Gorin,RU,51.1983,136.6669,55.26,69,66,9.64,1663737087
San Mateo del Mar,MX,16.2,-95,80.35,77,99,23.17,1663737169
Kerchevskiy,RU,59.946,56.2884,52.88,73,4,10.85,1663737170
Pangnirtung,CA,66.1451,-65.7125,33.06,82,16,2.3,1663737170
Hithadhoo,MV,-0.6,73.0833,81.75,70,78,1.81,1663737171
Lüderitz,NA,-26.6481,15.1594,61.52,35,14,12.53,1663737171
Coyhaique,CL,-45.5752,-72.0662,33.75,93,0,5.75,1663736949
Taoudenni,ML,22.6783,-3.9836,90.21,24,20,5.91,1663737172
Ambon City,ID,-3.6954,128.1814,86.14,74,40,6.91,1663737172
Avarua,CK,-21.2078,-159.775,73.45,83,75,8.05,1663737173
Port Hedland,AU,-20.3167,118.5667,91.45,12,0,14.97,1663737173
Mahajanga,MG,-15.7167,46.3167,80.62,41,0,9.22,1663737173
Vredefort,ZA,-27.0081,27.3646,53.38,71,100,14.97,1663737174
Havøysund,NO,70.9963,24.6622,43.03,93,100,18.95,1663737085
Pevek,RU,69.7008,170.3133,40.98,55,100,9.62,1663737175
Carnarvon,AU,-24.8667,113.6333,73.29,45,99,12.97,1663737175
Tateyama,JP,34.9833,139.8667,73.33,76,100,16.62,1663737176
Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,93,75,21.85,1663737077
Ostrovnoy,RU,68.0531,39.5131,41.85,73,85,18.99,1663737176
Khatanga,RU,71.9667,102.5,28.99,72,23,4.65,1663737177
Nago,JP,26.5881,127.9761,85.05,59,8,10.83,1663737177
Lincoln,US,40.8,-96.667,85.91,72,0,11.5,1663737022
Port Elizabeth,ZA,-33.918,25.5701,55.31,95,0,5.75,1663737178
Laguna,US,38.421,-121.4238,67.01,76,0,1.01,1663737178
Okha,RU,53.5739,142.9478,53.53,46,12,19.44,1663737179
Kavieng,PG,-2.5744,150.7967,83.95,65,53,7.67,1663737179
Morehead,US,37.2711,-87.1764,75.99,99,0,0,1663737180
Pyn U Lwin,MM,22.0333,96.4667,73.87,84,67,3.49,1663737180
Qasigiannguit,GL,68.8193,-51.1922,35.85,98,100,10.6,1663737180
Airai,TL,-8.9266,125.4092,79.68,36,80,5.88,1663737181
Leh,IN,34.1667,77.5833,53.13,64,97,5.88,1663737181
Laas,IT,46.6166,10.7002,39.36,86,36,3.96,1663737182
Kaitangata,NZ,-46.2817,169.8464,49.78,77,93,4,1663737182
Lompoc,US,34.6391,-120.4579,61.59,92,0,0,1663737004
Santa Fe,AR,-31.6333,-60.7,58.01,90,96,5.01,1663737183
Vangaindrano,MG,-23.35,47.6,70.38,79,86,6.42,1663737184
Sinnamary,GF,5.3833,-52.95,78.84,85,99,11.3,1663737184
Saldanha,ZA,-33.0117,17.9442,42.85,74,31,2.91,1663737185
Atar,MR,20.5169,-13.0499,84.85,38,42,11.77,1663737185
Phan Thiet,VN,10.9333,108.1,88.43,60,100,11.14,1663737185
Muisne,EC,0.6,-80.0333,73.35,88,97,8.39,1663737186
La Ceiba,HN,15.7597,-86.7822,73.22,100,100,2.3,1663737187
Labuhan,ID,-6.8844,112.2051,86.95,60,100,9.48,1663737187
Saint Anthony,US,45.0205,-93.218,73.74,70,0,14.97,1663737187
Lebu,CL,-37.6167,-73.65,45.18,84,82,4.38,1663737188
São João da Barra,BR,-21.6403,-41.0511,70.95,93,99,5.14,1663737129
Touros,BR,-5.1989,-35.4608,73.38,88,27,10.45,1663737188
Meadow Lake,US,34.8014,-106.5436,71.33,73,85,3.06,1663736993
Nur-Sultan,KZ,51.1801,71.446,67.95,24,0,4.47,1663737166
Lorengau,PG,-2.0226,147.2712,83.28,72,99,6.13,1663737005
Beringovskiy,RU,63.05,179.3167,41.4,95,100,24.38,1663737190
Ahipara,NZ,-35.1667,173.1667,59.7,75,0,7.34,1663737190
High Level,CA,58.5169,-117.136,39.31,100,0,0,1663737191
Acolla,PE,-11.7319,-75.5463,51.35,70,93,5.57,1663737191
Destin,US,30.3935,-86.4958,82.96,75,0,3.44,1663737191
Vila Velha,BR,-20.3297,-40.2925,73.35,88,0,11.5,1663737108
Dourdan,FR,48.5277,2.0111,50.43,89,53,6.35,1663737192
Coihueco,CL,-36.6167,-71.8333,39.94,100,20,4.61,1663737192
Margate,GB,51.3813,1.3862,55.69,84,56,3,1663736893
Sabang,ID,5.8933,95.3214,82.81,74,98,15.75,1663737193
Fairbanks,US,64.8378,-147.7164,43.61,86,75,0,1663737194
Sal Rei,CV,16.1833,-22.9167,78.37,78,21,13.78,1663737194
Collie,AU,-33.3667,116.15,63.88,55,35,15.01,1663737195
San Vicente,AR,-26.6167,-54.1333,54.93,97,45,2.84,1663737195
Storforshei,NO,66.4043,14.5233,43.66,93,75,3.44,1663737196
Las Palmas,ES,28.4204,-14.0131,70.59,83,40,13.8,1663737196
Waingapu,ID,-9.6567,120.2641,87.89,52,10,14.25,1663737196
Tolmezzo,IT,46.4075,13.0175,47.43,81,18,8.01,1663737197
Cherskiy,RU,68.75,161.3,43.54,51,100,22.48,1663737198
Seoul,KR,37.5683,126.9778,76.39,30,0,4.07,1663737007
General Roca,AR,-39.0333,-67.5833,44.62,45,22,12.26,1663737198
Faanui,PF,-16.4833,-151.75,78.6,75,69,19.71,1663737198
Leningradskiy,RU,69.3833,178.4167,35.67,83,58,13.73,1663737199
Dongsheng,CN,39.8161,109.9776,64.47,33,46,12.44,1663737199
Strezhevoy,RU,60.7333,77.5889,61.29,85,100,8.72,1663737200
Awjilah,LY,29.1081,21.2869,82.62,29,0,6.33,1663737201
Tete,MZ,-16.1564,33.5867,75.29,46,0,2.3,1663737201
Vao,NC,-22.6667,167.4833,72.63,81,0,18.05,1663737202
Celestún,MX,20.8667,-90.4,78.12,80,14,9.17,1663737203
Arraial do Cabo,BR,-22.9661,-42.0278,69.49,88,81,16.82,1663737203
Khani,GE,41.9563,42.9566,62.17,83,59,1.66,1663737203
Namatanai,PG,-3.6667,152.4333,82.06,73,90,4.7,1663737204
Cosalá,MX,24.4125,-106.6908,74.1,98,73,1.7,1663737204
Qui Nhon,VN,13.7667,109.2333,83.17,74,100,5.19,1663737104
Marsá Maţrūḩ,EG,31.3525,27.2453,75.13,70,0,3.22,1663737205
Baruun-Urt,MN,46.6806,113.2792,57.42,36,89,13.67,1663737205
Necochea,AR,-38.5473,-58.7368,43.54,72,100,8.86,1663737206
Esperance,AU,-33.8667,121.9,68.04,49,0,9.71,1663737206
Almaznyy,RU,48.0448,40.045,59.68,83,69,7.16,1663737207
Benguela,AO,-12.5763,13.4055,68.92,87,1,2.01,1663737207
Baykit,RU,61.67,96.37,41.47,44,72,4.99,1663737208
Bethel,US,41.3712,-73.414,63.45,78,75,4,1663736928
Korla,CN,41.7597,86.1469,82.27,14,1,10.98,1663737209
Norman Wells,CA,65.282,-126.8329,55.44,50,75,5.75,1663737209
Rawson,AR,-43.3002,-65.1023,46.56,90,100,19.04,1663737049
Sørland,NO,67.667,12.6934,50.4,81,100,30.65,1663737210
Kruisfontein,ZA,-34.0033,24.7314,51.19,82,0,4.97,1663737211
Yuzhnoural'sk,RU,54.4418,61.2536,67.37,25,100,7.25,1663737211
Flinders,AU,-34.5833,150.8552,68.18,80,100,5.99,1663737212
Klaksvík,FO,62.2266,-6.589,54.52,99,100,20.11,1663737212
Naryan-Mar,RU,67.6713,53.087,39.51,76,100,17.87,1663737213
Gerāsh,IR,27.6652,54.1371,86.85,17,2,3.78,1663737213
Bariloche,AR,-41.1456,-71.3082,28.09,93,72,6.71,1663737213
Vanavara,RU,60.34,102.2797,38.17,73,99,12.62,1663737214
Maamba,ZM,-17.3667,27.15,74.19,41,74,3.06,1663737214
Mata,PT,40.683,-7.4592,60.76,73,0,3.58,1663737215
Lagoa,PT,39.05,-27.9833,72.97,82,16,6.29,1663737216
Upernavik,GL,72.7868,-56.1549,33.46,90,100,9.24,1663736963
Rome,US,43.2128,-75.4557,58.87,94,100,0,1663737216
Luoyang,CN,34.6836,112.4536,77.94,35,95,7.81,1663737216
Lavrentiya,RU,65.5833,-171,40.37,94,80,9.84,1663737217
Māngrol,IN,21.1167,70.1167,82.27,67,12,7.52,1663737217
Yarkovo,RU,57.4028,67.0786,64.42,46,94,8.48,1663737218
Paamiut,GL,61.994,-49.6678,40.28,82,71,13.2,1663737218
San Policarpo,PH,12.1791,125.5072,85.19,66,100,1.7,1663737219
Feira de Santana,BR,-12.2667,-38.9667,65.61,96,8,3.27,1663737219
Shimoda,JP,34.6667,138.95,70.11,71,95,18.1,1663737220
Pecos,US,31.4229,-103.4932,80.31,57,0,11.5,1663737045
Sandwick,GB,60,-1.25,55.22,94,100,8.05,1663737220
Kloulklubed,PW,7.0419,134.2556,82.9,69,47,3.24,1663737221
Saint-François,FR,46.4154,3.9054,38.68,100,100,0,1663737221
Prince George,CA,53.9166,-122.753,42.26,86,10,2.35,1663737108
Plátanos,GR,37.6667,21.6167,66.07,78,29,3.83,1663737222
Avila,ES,40.5833,-5,60.19,57,5,1.36,1663737222
Fagernes,NO,60.9858,9.2324,34.92,72,89,1.66,1663737223
Salalah,OM,17.0151,54.0924,82.49,69,75,6.91,1663737223
Poum,NC,-20.2333,164.0167,76.57,78,3,13.76,1663737224
Manavālakurichi,IN,8.1333,77.3,85.39,65,3,14.43,1663737224
Dhārchula,IN,29.85,80.5333,80.73,66,90,4.7,1663737225
Meulaboh,ID,4.1363,96.1285,84.99,66,43,6.42,1663737225
Alto Piquiri,BR,-24.0281,-53.4406,66.51,94,76,3.76,1663737226
Ust'-Karsk,RU,52.7011,118.8077,57.92,47,98,8.68,1663737226
Severo-Kuril'sk,RU,50.6789,156.125,52.25,64,63,14.63,1663737227
Itaúna,BR,-20.0753,-44.5764,66.29,86,100,2.35,1663737227
Hay River,CA,60.8156,-115.7999,46.38,61,20,6.91,1663737227
Waipawa,NZ,-41.4122,175.5153,50.5,85,100,9.53,1663737228
Guarapari,BR,-20.6667,-40.4975,70.9,83,88,5.06,1663737228
Hualmay,PE,-11.0964,-77.6139,60.13,85,95,12.93,1663737228
Port Hardy,CA,50.6996,-127.4199,55.4,93,0,3.44,1663737229
Altamira,BR,-3.2033,-52.2064,77.49,72,40,3.96,1663737182
Maba,CN,24.6841,113.5984,95.74,32,57,3.58,1663737229
San Jerónimo,PE,-11.9472,-75.2829,53.62,69,75,1.23,1663737230
Sayyan,YE,15.1718,44.3244,65.3,42,25,0.74,1663737230
Mossamedes,AO,-15.1961,12.1522,65.59,83,91,7.14,1663737231
Palmer,US,42.1584,-72.3287,61.63,85,100,6.91,1663737232
St. George's,GD,12.0564,-61.7485,81.39,81,76,14.03,1663737081
Olafsvik,IS,64.8945,-23.7142,49.78,89,70,8.9,1663737232
Jinka,ET,5.65,36.65,70.79,52,93,3.89,1663737233
Tuktoyaktuk,CA,69.4541,-133.0374,41,93,75,13.8,1663737233
Mildura,AU,-34.2,142.15,63.07,82,75,13.8,1663737234
College,US,64.8569,-147.8028,43.59,86,75,0,1663737234
Hasaki,JP,35.7333,140.8333,73.29,75,100,19.04,1663737234
Baisha,CN,26.5222,110.9311,87.84,35,51,3.31,1663737235
Katherine,AU,-14.4667,132.2667,104.32,13,75,12.66,1663737235
Constitución,CL,-35.3333,-72.4167,43.43,85,5,4.07,1663737236
Rayevskaya,RU,44.8319,37.5556,58.15,67,71,10.47,1663737236
Papara,BR,-3.9839,-38.7273,77.68,90,52,5.35,1663737237
Quthing,LS,-30.4,27.7003,43.2,82,74,3.78,1663737237
Otacílio Costa,BR,-27.4831,-50.1219,55,95,76,5.37,1663737238
