City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,date
Manokwari,ID,-0.8667,134.0833,81.81,70,100,3.42,1663737238
Chokurdakh,RU,70.6333,147.9167,33.17,98,100,15.39,1663737238
Sakaiminato,JP,35.55,133.2333,69.37,59,82,19.33,1663737239
Baie-Comeau,CA,49.2168,-68.1489,49.68,81,100,6.91,1663737239
Zhangaözen,KZ,43.3,52.8,76.12,17,1,13.49,1663737240
Pyrzyce,PL,53.1462,14.8926,51.15,94,54,5.93,1663737240
Gladstone,AU,-23.85,151.25,75.13,69,100,8.05,1663737168
Muhos,FI,64.808,25.9931,35.38,77,31,0.78,1663737241
Kalmunai,LK,7.4167,81.8167,87.84,58,6,4.97,1663737241
Arlit,NE,18.7369,7.3853,85.3,47,29,6.08,1663737242
Teya,RU,60.3778,92.6267,43.29,40,94,3.04,1663737242
Ellisras,ZA,-23.6649,27.7443,60.66,79,100,9.4,1663737243
La Primavera,CO,5.4906,-70.4092,79.18,74,98,2.84,1663737243
Bosaso,SO,11.2842,49.1816,93.18,43,24,10.45,1663737244
Amarante do Maranhão,BR,-5.5667,-46.7422,75.69,43,20,3.31,1663737244
Zhigansk,RU,66.7697,123.3711,36.37,64,99,18.48,1663737245
Batagay,RU,67.6333,134.6333,32.04,92,100,10.89,1663737245
Bredasdorp,ZA,-34.5322,20.0403,49.51,81,9,5.53,1663737245
Kyabram,AU,-36.3167,145.05,57.87,81,100,9.95,1663737246
Eyl,SO,7.9803,49.8164,83.07,64,10,17.2,1663737246
Mahanoro,MG,-19.9,48.8,70.39,77,28,4.83,1663737247
Kahului,US,20.8947,-156.47,80.62,74,40,14.97,1663737247
Aklavik,CA,68.2191,-135.0107,44.85,60,45,13,1663737248
Port-Gentil,GA,-0.7193,8.7815,76.59,81,100,8.23,1663737248
Walvis Bay,NA,-22.9575,14.5053,52.75,43,0,1.14,1663737249
Kieta,PG,-6.2167,155.6333,81.25,82,100,7.4,1663737249
Svetlaya,RU,46.5389,138.3297,62.08,44,0,10.13,1663737250
Acarí,PE,-15.4311,-74.6158,60.85,83,83,4.32,1663737250
Tessalit,ML,20.1986,1.0114,85.19,44,5,6.6,1663737250
Nouadhibou,MR,20.931,-17.0347,75.18,73,19,17.27,1663737251
Olinda,BR,-8.0089,-34.8553,76.73,73,40,5.75,1663737251
Pāsighāt,IN,28.0667,95.3333,83.39,86,56,3,1663737252
Nome,US,64.5011,-165.4064,44.67,71,100,11.5,1663737252
Wanning,CN,18.8003,110.3967,86.5,65,94,6.31,1663737253
Tiksi,RU,71.6872,128.8694,34.86,100,100,14.29,1663737253
Omsukchan,RU,62.5333,155.8,32.9,90,100,8.84,1663737254
Verkhnetulomskiy,RU,68.6073,31.7962,33.13,89,45,3.71,1663737254
Husavik,IS,66.0449,-17.3389,50.11,94,100,6.6,1663737235
Narsaq,GL,60.9167,-46.05,41.22,71,15,2.51,1663737255
Mugur-Aksy,RU,50.35,90.5,53.51,35,36,0.72,1663737255
Adrar,MR,20.5022,-10.0711,83.64,35,83,23.29,1663737256
Ubinskoye,RU,55.3068,79.6802,66.2,58,97,8.12,1663737257
Sananduva,BR,-27.9497,-51.8067,51.42,95,25,4.38,1663737257
Methóni,GR,36.8197,21.7049,71.22,75,25,5.68,1663737258
Ilebo,CD,-4.3167,20.5833,72.1,95,84,1.48,1663737258
Kyra,RU,49.5776,111.9753,51.91,46,81,20.31,1663737258
Port-Cartier,CA,50.0334,-66.8654,44.74,93,86,8.52,1663737259
Masterton,NZ,-40.9597,175.6575,54.88,95,100,6.73,1663736971
Zemetchino,RU,53.4973,42.6163,53.2,66,75,7.16,1663737259
Saskylakh,RU,71.9167,114.0833,31.01,71,94,17.81,1663737260
Ilulissat,GL,69.2167,-51.1,35.62,93,100,9.22,1663737260
Kiryat Gat,IL,31.61,34.7642,74.08,100,15,6.24,1663737261
Mitú,CO,1.1983,-70.1733,74.14,86,56,0.78,1663737261
Vostok,RU,46.4856,135.8833,55.2,38,0,9.33,1663737262
Nanortalik,GL,60.1432,-45.2371,39.52,90,11,17.87,1663737262
Sitka,US,57.0531,-135.33,57.09,94,100,5.75,1663737263
Grande Prairie,CA,55.1667,-118.8027,46.58,71,0,3.44,1663737254
Atbasar,KZ,51.8,68.3333,70.79,33,0,6.78,1663737263
Chhāpar,IN,27.8167,74.4,92.53,29,0,13.2,1663737264
Chabahar,IR,25.2919,60.643,81.82,75,72,7.49,1663737264
Hobyo,SO,5.3505,48.5268,79.72,80,26,16.73,1663737265
Ambunti,PG,-4.2365,142.8448,76.14,98,100,1.41,1663737265
Matara,LK,5.9485,80.5353,85.68,64,18,12.84,1663737266
Tual,ID,-5.6667,132.75,82.65,76,70,5.97,1663737266
São Miguel do Araguaia,BR,-13.275,-50.1628,83.44,38,74,2.71,1663737267
Aykhal,RU,66,111.5,24.8,89,100,13.31,1663737267
Ugento,IT,39.9263,18.1574,64.45,66,12,11.7,1663737268
Qeshm,IR,26.9581,56.2719,91.27,75,0,6.62,1663737268
Padang,ID,-0.9492,100.3543,86.05,75,99,4.74,1663737269
São Félix do Xingu,BR,-6.6447,-51.995,76.5,50,52,1.19,1663737269
Sirte,LY,31.2089,16.5887,79.9,63,21,3.47,1663737269
Champasak,LA,14.75,106,75.36,98,100,1.32,1663737270
Elko,US,41.0002,-115.5012,64.22,20,0,3,1663737270
Bezenchuk,RU,52.982,49.4333,63.21,59,99,4.56,1663737271
Half Moon Bay,US,37.4636,-122.4286,66,72,100,10.36,1663737130
Sioux Lookout,CA,50.1001,-91.917,57.27,77,40,9.22,1663737271
Buraidah,SA,26.326,43.975,86.45,17,46,11.99,1663737272
Yaan,NG,7.3833,8.5667,70.52,99,92,3.69,1663737272
Barra da Estiva,BR,-13.6261,-41.3269,61.72,91,5,4.65,1663737273
Port Lincoln,AU,-34.7333,135.8667,62.58,62,23,13.27,1663737273
Castro,BR,-24.7911,-50.0119,58.28,97,47,10.31,1663737274
Paphos,CY,34.7667,32.4167,74.98,69,40,4.61,1663737274
Victor Harbor,AU,-35.5667,138.6167,59,86,56,3,1663737275
Băniţa,RO,45.45,23.2667,42.55,92,100,1.97,1663737275
Konongo,GH,6.6167,-1.2167,69.1,100,92,1.92,1663737275
Tutóia,BR,-2.7619,-42.2744,79.18,78,79,14.58,1663737074
Al Bardīyah,LY,31.7561,25.0865,74.37,69,0,1.43,1663737276
Arrondissement d'Ajaccio,FR,42,8.9167,60.85,82,0,8.05,1663737276
Grindavik,IS,63.8424,-22.4338,48.67,93,75,11.5,1663737277
Inhambane,MZ,-23.865,35.3833,73.38,100,75,0,1663737277
Horoměřice,CZ,50.1317,14.3388,47.88,89,20,7,1663737278
Samarai,PG,-10.6167,150.6667,81.14,85,100,13.09,1663737278
Sochi,RU,43.6,39.7303,66.29,86,100,4.56,1663737279
Caniço,PT,32.6333,-16.85,71.71,88,20,4.61,1663737279
Choctaw,US,35.4976,-97.2689,85.05,58,0,10.36,1663737280
Anacortes,US,48.5126,-122.6127,62.94,59,100,5.75,1663737078
Pochutla,MX,15.7432,-96.4661,76.82,93,96,2.8,1663737280
Karacabey,TR,40.2152,28.4038,64.78,76,0,4.16,1663737281
Mitsamiouli,KM,-11.3847,43.2844,75.81,75,8,10.22,1663737281
Mehrān,IR,33.1222,46.1646,92.21,11,64,9.62,1663737281
Haines Junction,CA,60.7522,-137.5108,55.35,58,83,9.22,1663737282
Sechura,PE,-5.5569,-80.8222,62.22,84,65,12.84,1663737282
Hervey Bay,AU,-25.2986,152.8535,76.01,66,76,5.01,1663737212
Auki,SB,-8.7676,160.7034,75.85,92,100,0.89,1663737238
Makarov,RU,48.6333,142.8,55.08,42,4,15.21,1663737283
Chapayevka,UA,47.4711,36.3451,51.35,71,1,9.4,1663737283
Ballina,AU,-28.8667,153.5667,68.04,83,100,12.44,1663737284
San Cristobal,VE,7.7669,-72.225,71.78,96,96,2.77,1663737285
Prince Rupert,CA,54.3161,-130.3201,56.89,86,0,3.44,1663737285
Fortuna,US,40.5982,-124.1573,60.66,87,54,3.24,1663737286
Tautira,PF,-17.7333,-149.15,78.19,74,52,16.98,1663737286
Jiamusi,CN,46.8333,130.35,65.91,35,6,20.65,1663737287
Soure,BR,-0.7167,-48.5233,79.16,81,2,12.3,1663737287
Kibre Mengist,ET,5.8833,38.9833,62.8,75,98,0.31,1663737287
Goderich,CA,43.7501,-81.7165,64.72,77,27,5.75,1663737288
Isla Mujeres,MX,21.2311,-86.731,77.16,76,4,7.72,1663737288
Luau,AO,-10.7073,22.2247,71.73,62,58,0.78,1663737289
Codrington,AU,-38.2667,141.9667,54.48,94,100,4.72,1663737289
Horta,PT,38.5333,-28.6333,73.33,81,42,6.29,1663737290
Sungai Raya,ID,0.7,108.9,87.82,56,100,4.18,1663737158
Shenjiamen,CN,29.9576,122.298,72.9,77,92,12.46,1663737290
Lumphat,KH,13.4878,106.9816,80.56,91,99,2.95,1663737291
Narragansett,US,41.4501,-71.4495,62.98,78,100,3.44,1663737291
Tūkrah,LY,32.5341,20.5791,78.26,56,86,5.86,1663737292
Puerto Escondido,MX,15.85,-97.0667,77.68,89,99,5.12,1663737292
Saurimo,AO,-9.6608,20.3916,69.19,66,26,1.14,1663737292
Kut Chap,TH,17.4257,102.5669,89.38,76,100,1.34,1663737293
Evansville,US,37.9748,-87.5558,78.21,90,0,0,1663737145
Ternate,ID,0.8,127.4,84.29,69,76,5.23,1663737294
Tabou,CI,4.423,-7.3528,75.24,88,100,6.85,1663737294
Rio Grande,BR,-32.035,-52.0986,56.32,83,100,8.05,1663737194
Nioro,GM,13.35,-15.75,73.15,95,100,3.89,1663737295
Manono,CD,-7.3,27.4167,76.86,59,59,1.43,1663737295
Tuburan,PH,6.6439,122.2736,87.89,66,80,3.22,1663737295
Boulder City,US,35.9786,-114.8325,83.62,20,0,0,1663737296
Birkeland,NO,58.3309,8.2323,43.41,96,47,4.61,1663737296
Bilma,NE,18.6853,12.9164,88.02,37,62,5.26,1663737297
Matadi,CD,-5.8167,13.45,74.01,81,99,4.18,1663737297
Aswān,EG,24.0934,32.907,81.01,24,0,8.95,1663737298
Khasan,RU,42.4308,130.6434,64.13,54,0,13.87,1663737298
Hosūr,IN,12.7167,77.8167,75.11,68,96,11.83,1663737298
Sur,OM,22.5667,59.5289,88.56,53,0,3.38,1663737299
Vizinga,RU,61.0749,50.1031,50.09,92,100,10.09,1663737299
Luzhou,CN,28.8724,105.4405,69.06,88,100,2.8,1663737300
Itoman,JP,26.1247,127.6694,84.97,62,40,18.41,1663737300
Guacamayas,MX,18.0167,-102.2167,75.69,94,100,4,1663737300
Governador Valadares,BR,-18.8511,-41.9494,72.16,75,70,1.66,1663737205
Maykor,RU,59.0059,55.88,54.19,70,7,10.18,1663737301
Avallon,FR,47.4833,3.9,43.52,90,6,3.11,1663737301
Chacabuco,AR,-34.6417,-60.4739,48.81,47,96,4.03,1663737073
Winslow,US,35.0242,-110.6974,68.18,77,0,3.44,1663737302
Ixtapa,MX,20.7,-105.2,79.83,89,100,0,1663737303
Katangli,RU,51.7102,143.2326,54.54,45,2,17.27,1663737303
Manado,ID,1.487,124.8455,77.77,88,40,5.75,1663737303
Hambantota,LK,6.1241,81.1185,87.44,61,33,19.53,1663737304
Krasnoshchekovo,RU,51.6708,82.7289,71.46,34,42,12.62,1663737304
Poya,NC,-21.35,165.15,79.27,67,3,9.1,1663737305
Rosetta,EG,31.4044,30.4164,76.59,61,0,9.89,1663737306
Mahibadhoo,MV,3.7833,72.9667,81.59,74,8,6.82,1663737306
Taltal,CL,-25.4,-70.4833,54.39,76,0,3.38,1663737306
Maceió,BR,-9.6658,-35.7353,69.24,100,0,3.44,1663737307
Vyartsilya,RU,62.1764,30.693,44.62,100,100,3.83,1663737307
Melilla,ES,35.2937,-2.9383,71.98,88,75,0,1663737308
Sühbaatar,MN,50.2314,106.2078,55.31,41,95,9.28,1663737308
Sabha,LY,27.0377,14.4283,79.39,17,0,1.5,1663737309
Diré,ML,12.2833,-10.9667,72.55,95,100,1.81,1663737309
Zambezi,ZM,-13.5432,23.1047,69.78,60,71,3.74,1663737309
Marang,MY,5.2056,103.2059,89.51,70,77,5.59,1663737310
Russell,US,32.3502,-85.1999,74.8,94,0,0,1663737310
Departamento de Maldonado,UY,-34.6667,-54.9167,44.22,91,89,1.05,1663737311
Bud,US,39.447,-86.1758,75.88,88,0,7.05,1663737311
Sambava,MG,-14.2667,50.1667,72.07,66,12,11.41,1663737312
Maragogi,BR,-9.0122,-35.2225,72.9,84,46,5.53,1663737312
Shaoxing,CN,30.011,120.5715,73.35,74,99,3.62,1663737313
Ust'-Koksa,RU,50.2696,85.6108,63.32,43,13,1.72,1663737313
Faya,SA,18.3851,42.4509,69.91,37,87,0.94,1663737314
Matagami,CA,49.7502,-77.6328,51.91,93,100,16.11,1663737314
Porbandar,IN,21.6422,69.6093,82.38,78,40,13.8,1663737315
Cap-aux-Meules,CA,47.3821,-61.8597,57.22,82,99,16.11,1663737301
Eureka,US,40.8021,-124.1637,60.93,88,66,4.41,1663737315
Coquimbo,CL,-29.9533,-71.3436,47.93,81,0,6.91,1663737316
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,73.62,88,37,1.25,1663737316
Mago,RU,53.2514,140.1822,57.25,44,8,13.44,1663737317
Varhaug,NO,58.6147,5.6457,49.89,75,99,3.62,1663737317
Mandalgovi,MN,45.7625,106.2708,50.56,48,100,18.07,1663737318
Severo-Yeniseyskiy,RU,60.3725,93.0408,38.97,43,94,3.71,1663737318
Dhidhdhoo,MV,6.8833,73.1,81.52,77,11,8.79,1663737319
Ndélé,CF,8.4109,20.6473,68.76,97,14,1.54,1663737319
Wunstorf,DE,52.4333,9.4167,45.12,95,10,2.3,1663737319
Mormugao,IN,15.4,73.8,81.66,69,40,5.75,1663737320
Tighina,MD,46.8306,29.4711,48.97,82,6,8.19,1663737320
Bonthe,SL,7.5264,-12.505,75.42,89,99,8.01,1663737321
Yingkou,CN,40.6648,122.2283,70.77,58,0,19.89,1663737321
Champerico,GT,14.3,-91.9167,74.91,93,100,12.12,1663737322
Erie,US,42.7667,-78.6664,64.08,86,54,7.05,1663737322
Morón,AR,-34.6534,-58.6198,55.96,84,96,3.98,1663737323
Zhalantun,CN,48,122.7167,74.62,19,89,11.59,1663737323
Marzuq,YE,14.4,46.4667,82.13,33,12,3.76,1663737323
Ngunguru,NZ,-35.6167,174.5,61.09,80,21,4.9,1663737324
Gbarnga,LR,6.9956,-9.4722,70.25,99,99,2.21,1663737324
Klamath Falls,US,42.2249,-121.7817,52.88,81,0,4.61,1663737114
Butterworth,MY,5.3991,100.3638,87.84,77,20,9.22,1663737325
El Ángel,EC,0.6167,-77.9333,42.3,90,99,1.21,1663737325
Ossora,RU,59.2353,163.0719,50.29,68,64,36.06,1663737326
Mayskiy,RU,47.6931,40.1025,60.21,82,64,5.66,1663737326
Alice Springs,AU,-23.7,133.8833,74.75,25,0,8.05,1663737326
Dukat,RU,62.55,155.55,30.52,92,100,12.33,1663737327
Itarema,BR,-2.9248,-39.9167,77.16,79,53,15.97,1663737328
Mayo,US,38.8876,-76.5119,71.94,86,0,3.44,1663737328
Asău,RO,46.4333,26.4,43.72,85,25,4.61,1663737328
Gweta,BW,-20.1833,25.2333,60.93,24,13,10.71,1663737079
Singaparna,ID,-7.3515,108.111,80.96,68,100,4.54,1663737329
Alofi,NU,-19.0595,-169.9187,76.89,78,50,13.8,1663737329
Sisimiut,GL,66.9395,-53.6735,35.56,77,90,3.53,1663737330
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,51,75,11.18,1663737330
Broken Hill,AU,-31.95,141.4333,58.77,74,100,26.04,1663737331
Sassandra,CI,4.95,-6.0833,72.82,93,94,4.36,1663737331
São Filipe,CV,14.8961,-24.4956,78.03,76,31,6.08,1663737331
Dosso,NE,13.049,3.1937,74.59,88,40,5.19,1663737332
Ulladulla,AU,-35.35,150.4667,70.77,75,91,16.78,1663737332
Trelew,AR,-43.249,-65.3051,46.35,87,100,21.34,1663737138
Abu Samrah,SY,35.3029,37.1841,72.59,63,0,14.67,1663737333
Ferrol,ES,43.4832,-8.2369,59.68,80,1,7.56,1663737288
Tonantins,BR,-2.8731,-67.8022,69.89,94,27,1.92,1663737334
Angoche,MZ,-16.2325,39.9086,76.08,75,15,10.69,1663737334
Saint-Augustin,CA,51.226,-58.6502,48.07,68,4,2.06,1663737335
Fomboni,KM,-12.28,43.7425,75.4,76,30,6.87,1663737335
Henties Bay,NA,-22.116,14.2845,56.82,59,0,8.88,1663737335
Kaihua,CN,23.3687,104.28,74.61,74,97,6.91,1663737336
Adwa,ET,14.1646,38.8955,65.23,69,78,1.86,1663737336
Dalby,AU,-27.1833,151.2667,65.98,83,100,5.99,1663737337
Xi'an,CN,34.2583,108.9286,78.91,59,75,0.43,1663737135
Cam Ranh,VN,11.9214,109.1591,85.96,74,40,8.05,1663737337
Macenta,GN,8.5435,-9.471,68.43,100,100,2.64,1663737338
Mahon,ES,39.8885,4.2658,64.96,88,0,3.44,1663737338
Salta,AR,-24.7859,-65.4117,55.99,83,100,2.3,1663737339
Rūdbār,AF,30.15,62.6,86.34,16,0,8.1,1663737339
Dukhovnitskoye,RU,52.4828,48.2137,61.99,75,85,4.85,1663737339
Talnakh,RU,69.4865,88.3972,36.21,54,100,20.54,1663737340
Talas,TR,38.6908,35.5538,57.87,82,40,5.75,1663737340
Santoña,ES,43.4439,-3.4576,53.6,72,9,4.14,1663737341
Tygda,RU,53.1167,126.3333,55.35,48,100,2.24,1663737341
Nelson Bay,AU,-32.7167,152.15,70,79,100,18.99,1663737341
Mount Gambier,AU,-37.8333,140.7667,60.22,74,93,2.04,1663737342
Doka,SD,13.5167,35.7667,72.99,84,99,7.25,1663737342
Quatre Cocos,MU,-20.2078,57.7625,75.09,76,46,18.59,1663737343
Mīnāb,IR,27.1467,57.0801,89.92,66,1,0,1663737343
Avera,US,33.194,-82.5271,69.55,60,0,1.41,1663737344
Pozo Colorado,PY,-23.4923,-58.7972,70.07,77,91,3.94,1663737344
Yeovil,GB,50.9416,-2.6321,56.35,93,16,0,1663737345
Zaterechnyy,RU,44.7931,45.2097,73.24,56,97,5.5,1663737345
Dayong,CN,25.0209,118.2898,89.46,43,10,3.06,1663737345
Langham,CA,52.3668,-106.9679,47.01,66,46,7.49,1663737346
Gari,RU,59.4307,62.3497,58.77,61,42,13.69,1663737346
Yar-Sale,RU,66.8333,70.8333,48.65,83,99,18.7,1663737347
Thanh Hoa,VN,19.8,105.7667,86.02,67,100,4.34,1663737323
Chauk,MM,20.8833,94.8167,88.25,56,49,5.91,1663737347
Bandar-e Lengeh,IR,26.5579,54.8807,91.51,70,0,6.91,1663737348
Rubiataba,BR,-15.1644,-49.8033,78.21,53,88,3.04,1663737349
Plettenberg Bay,ZA,-34.0527,23.3716,55.71,70,0,6.24,1663737349
Verkhnevilyuysk,RU,63.4453,120.3167,38.35,58,100,7.96,1663737349
Gīdam,IN,18.9833,81.4,78.3,86,100,4.85,1663737350
Port Blair,IN,11.6667,92.75,87.84,66,40,11.5,1663737150
Pekan,MY,3.4836,103.3996,89.71,62,90,6.64,1663737350
Nizwá,OM,22.9333,57.5333,89.24,35,13,2.01,1663737351
Trenggalek,ID,-8.05,111.7167,81.54,77,100,6.13,1663737351
Soignies,BE,50.579,4.0713,45.72,95,24,1.14,1663737352
Muli,MV,2.9167,73.5667,81.73,74,8,6.24,1663737352
Oytal,KZ,42.9057,73.2697,77.27,29,80,4.07,1663737352
Sabirabad,AZ,40.0095,48.4752,79.16,40,0,3.56,1663737353
Hamilton,US,39.1834,-84.5333,72.93,87,0,5.75,1663736916
Puga,MX,21.5833,-104.8167,70.38,99,98,1.54,1663737354
Ilhabela,BR,-23.7781,-45.3581,66.72,90,89,5.28,1663737354
Okhotsk,RU,59.3833,143.3,48.72,50,44,24.09,1663737354
Coffs Harbour,AU,-30.3,153.1333,68.13,73,75,17.27,1663737355
Keti Bandar,PK,24.1447,67.4497,84.43,60,54,12.82,1663737355
Vardø,NO,70.3705,31.1107,39.18,87,100,14.97,1663737356